Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D3,Dataset 3,15,D3,ZINB,identity,-29764.470407119188,59538.940814238376,59578.45825200106,20000,5,True,19,0.0001327743308199847,not_computed,nan,0,Optimization terminated successfully,15.926344394683838
D3,Dataset 3,15,D3,P+NB,identity,-32596.84530487546,65205.69060975092,65253.111535066135,20000,6,True,47,1398.148141330004,not_computed,nan,0,Optimization terminated successfully,24.541863203048706
D3,Dataset 3,15,D3,Z+P+NB,identity,-29277.254850248282,58570.509700496565,58633.73760091685,20000,8,True,19,0.00023220083919128776,not_computed,nan,0,Optimization terminated successfully,37.096086740493774
D3,Dataset 3,15,D3,ZIP--ZINB,identity,-29261.43801418657,58542.87602837314,58621.9109038985,20000,10,True,18,0.00022742593921115661,inverse,3.1405735507772197,10,Optimization terminated successfully,71.11566519737244
D3,Dataset 3,16,D3,Poisson,identity,-71734.6550701267,143473.3101402534,143489.11711535847,20000,2,True,16,15173.820703400552,not_computed,nan,0,Optimization terminated successfully,1.2167985439300537
D3,Dataset 3,16,D3,NB,identity,-32756.036486803598,65518.072973607195,65541.7834362648,20000,3,True,29,4468.604350744318,not_computed,nan,0,Optimization terminated successfully,5.775088548660278
D3,Dataset 3,16,D3,ZIP,identity,-41838.07448191043,83684.14896382086,83715.762914031,20000,4,True,15,9.603938609430466e-05,not_computed,nan,0,Optimization terminated successfully,7.438753604888916
D3,Dataset 3,16,D3,ZINB,identity,-29289.61919883129,58589.23839766258,58628.75583542526,20000,5,True,19,3.290412817341659e-05,not_computed,nan,0,Optimization terminated successfully,12.736295700073242
D3,Dataset 3,16,D3,P+NB,identity,-32062.670021672795,64137.34004334559,64184.760968660805,20000,6,True,31,2590.9942177351636,not_computed,nan,0,Optimization terminated successfully,26.17255687713623
D3,Dataset 3,16,D3,Z+P+NB,identity,-28752.332276216515,57520.66455243303,57583.89245285332,20000,8,True,24,0.00018199080494024633,not_computed,nan,0,Optimization terminated successfully,37.55065178871155
D3,Dataset 3,16,D3,ZIP--ZINB,identity,-28738.598308944835,57497.19661788967,57576.23149341503,20000,10,True,43,9.889290299475335e-05,inverse,3.1165685352485877,10,Optimization terminated successfully,76.52081155776978
D3,Dataset 3,17,D3,Poisson,identity,-74321.96100281278,148647.92200562556,148663.72898073064,20000,2,True,12,11239.337492457224,not_computed,nan,0,Optimization terminated successfully,1.5856244564056396
D3,Dataset 3,17,D3,NB,identity,-33482.16760315478,66970.33520630957,66994.04566896717,20000,3,True,17,1673.5188641295044,not_computed,nan,0,Optimization terminated successfully,5.814097166061401
D3,Dataset 3,17,D3,ZIP,identity,-42657.63572966948,85323.27145933895,85354.8854095491,20000,4,True,16,0.00012371051766052465,not_computed,nan,0,Optimization terminated successfully,9.399373769760132
D3,Dataset 3,17,D3,ZINB,identity,-29840.728619249014,59691.45723849803,59730.97467626071,20000,5,True,15,4.515503547400379e-05,not_computed,nan,0,Optimization terminated successfully,12.784191846847534
D3,Dataset 3,17,D3,P+NB,identity,-32741.651706965582,65495.303413931164,65542.72433924639,20000,6,True,46,1458.5950824969793,not_computed,nan,0,Optimization terminated successfully,25.146833896636963
D3,Dataset 3,17,D3,Z+P+NB,identity,-29318.814571326642,58653.629142653284,58716.85704307357,20000,8,True,13,7.063535029297463e-05,not_computed,nan,0,Optimization terminated successfully,34.16123414039612
D3,Dataset 3,17,D3,ZIP--ZINB,identity,-29301.32105739697,58622.64211479394,58701.6769903193,20000,10,True,16,0.0004753958691527463,inverse,2.9774510497012794,10,Optimization terminated successfully,77.6884515285492
D3,Dataset 3,18,D3,Poisson,identity,-73978.66047077774,147961.3209415555,147977.12791666057,20000,2,True,17,14515.561227196347,not_computed,nan,0,Optimization terminated successfully,1.460282564163208
D3,Dataset 3,18,D3,NB,identity,-33060.436970942596,66126.87394188519,66150.5844045428,20000,3,True,16,3942.604455645535,not_computed,nan,0,Optimization terminated successfully,7.204528331756592
D3,Dataset 3,18,D3,ZIP,identity,-42721.26518576323,85450.53037152646,85482.1443217366,20000,4,True,14,0.0003830757295097964,not_computed,nan,0,Optimization terminated successfully,8.505979299545288
D3,Dataset 3,18,D3,ZINB,identity,-29575.355199550013,59160.710399100026,59200.22783686271,20000,5,True,17,0.000295519597445823,not_computed,nan,0,Optimization terminated successfully,11.922354221343994
D3,Dataset 3,18,D3,P+NB,identity,-32421.42054717033,64854.84109434066,64902.26201965588,20000,6,True,30,2251.955526127618,not_computed,nan,0,Optimization terminated successfully,25.331156492233276
