Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D3,Dataset 3,39,beta_z[0],$\beta_{10}$,6.6,6.404495646814803
D3,Dataset 3,39,beta_z[1],$\beta_{11}$,-2.1,-2.0151717744681035
D3,Dataset 3,39,gamma_z[0],$\gamma_{10}$,-2.5,-2.4107934356113825
D3,Dataset 3,39,gamma_z[1],$\gamma_{11}$,2.0,1.9667248893406022
D3,Dataset 3,39,beta_nb[0],$\beta_{20}$,8.0,7.809770262608012
D3,Dataset 3,39,beta_nb[1],$\beta_{21}$,2.5,2.775779199343085
D3,Dataset 3,39,gamma_nb[0],$\gamma_{20}$,-2.5,-2.591841062134412
D3,Dataset 3,39,gamma_nb[1],$\gamma_{21}$,2.5,2.5622514316787854
D3,Dataset 3,38,beta_z[0],$\beta_{10}$,6.6,6.3215494489208375
D3,Dataset 3,38,beta_z[1],$\beta_{11}$,-2.1,-1.873014384133398
D3,Dataset 3,38,gamma_z[0],$\gamma_{10}$,-2.5,-3.1541282499237737
D3,Dataset 3,38,gamma_z[1],$\gamma_{11}$,2.0,2.2382342057263123
D3,Dataset 3,38,beta_nb[0],$\beta_{20}$,8.0,8.403390776780054
D3,Dataset 3,38,beta_nb[1],$\beta_{21}$,2.5,2.6420975979249084
D3,Dataset 3,38,gamma_nb[0],$\gamma_{20}$,-2.5,-2.2084573437412605
D3,Dataset 3,38,gamma_nb[1],$\gamma_{21}$,2.5,2.392151763817442
D3,Dataset 3,32,beta_z[0],$\beta_{10}$,6.6,6.668411779090257
D3,Dataset 3,32,beta_z[1],$\beta_{11}$,-2.1,-2.121108347070796
D3,Dataset 3,32,gamma_z[0],$\gamma_{10}$,-2.5,-2.2231855964873355
D3,Dataset 3,32,gamma_z[1],$\gamma_{11}$,2.0,2.011916327622801
D3,Dataset 3,32,beta_nb[0],$\beta_{20}$,8.0,8.424659419061756
D3,Dataset 3,32,beta_nb[1],$\beta_{21}$,2.5,2.329357759813221
D3,Dataset 3,32,gamma_nb[0],$\gamma_{20}$,-2.5,-2.7251243308899724
D3,Dataset 3,32,gamma_nb[1],$\gamma_{21}$,2.5,2.517580045769275
D3,Dataset 3,40,beta_z[0],$\beta_{10}$,6.6,6.644950495715917
D3,Dataset 3,40,beta_z[1],$\beta_{11}$,-2.1,-2.185410266229285
D3,Dataset 3,40,gamma_z[0],$\gamma_{10}$,-2.5,-2.425808770434912
D3,Dataset 3,40,gamma_z[1],$\gamma_{11}$,2.0,1.9659420297853816
D3,Dataset 3,40,beta_nb[0],$\beta_{20}$,8.0,7.864474981240315
D3,Dataset 3,40,beta_nb[1],$\beta_{21}$,2.5,3.0360967546054267
D3,Dataset 3,40,gamma_nb[0],$\gamma_{20}$,-2.5,-2.3623686717480514
D3,Dataset 3,40,gamma_nb[1],$\gamma_{21}$,2.5,2.3923285941009143
D3,Dataset 3,41,beta_z[0],$\beta_{10}$,6.6,6.522121762279044
D3,Dataset 3,41,beta_z[1],$\beta_{11}$,-2.1,-2.000386723710544
D3,Dataset 3,41,gamma_z[0],$\gamma_{10}$,-2.5,-2.2162079831113703
