Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D3,Dataset 3,71,beta_z[0],optimizer,6.6,6.713081277108338,0.10637931772803615,6.5045778143613875,6.921584739855288,True,inverse
D3,Dataset 3,71,beta_z[1],optimizer,-2.1,-2.159510217674646,0.06353656562420762,-2.284041886298093,-2.034978549051199,True,inverse
D3,Dataset 3,71,gamma_z[0],optimizer,-2.5,-2.1067923055773097,0.25710113972784554,-2.610710539443887,-1.6028740717107324,True,inverse
D3,Dataset 3,71,gamma_z[1],optimizer,2.0,1.8501186999061074,0.1015462090727962,1.6510881301234268,2.049149269688788,True,inverse
D3,Dataset 3,71,beta_nb[0],optimizer,8.0,8.161760318402179,0.30747280574385494,7.559113619144223,8.764407017660135,True,inverse
D3,Dataset 3,71,beta_nb[1],optimizer,2.5,1.9497905851017203,0.40132882591844565,1.1631860863015668,2.736395083901874,True,inverse
D3,Dataset 3,71,gamma_nb[0],optimizer,-2.5,-2.7034086688238945,0.23901128849223993,-3.171870794268685,-2.2349465433791043,True,inverse
D3,Dataset 3,71,gamma_nb[1],optimizer,2.5,2.5438864085996196,0.10814733491767917,2.3319176321609683,2.755855185038271,True,inverse
D3,Dataset 3,71,log_alpha,optimizer,0.0,0.026585764477851256,0.04948817480556898,-0.07041105814106395,0.12358258709676646,True,inverse
D3,Dataset 3,71,rho,natural_delta,0.4,0.42681269516186404,0.028566172486357313,0.3708229970886037,0.48280239323512436,True,inverse
D3,Dataset 3,71,alpha,natural_delta,1.0,1.0269423186566726,0.05082150098091774,0.9273321767340739,1.1265524605792714,True,inverse
D3,Dataset 3,70,logit_rho,optimizer,-0.4054651081081643,-0.5202422303675519,0.09823879509190568,-0.712790268747687,-0.3276941919874168,True,inverse
D3,Dataset 3,70,beta_z[0],optimizer,6.6,6.536533056758973,0.1144765463316104,6.312159025949017,6.760907087568929,True,inverse
D3,Dataset 3,70,beta_z[1],optimizer,-2.1,-2.0320587977549467,0.0740761669594526,-2.177248084995474,-1.8868695105144195,True,inverse
D3,Dataset 3,70,gamma_z[0],optimizer,-2.5,-3.176145410230067,0.3953496324850585,-3.951030689900781,-2.4012601305593524,True,inverse
D3,Dataset 3,70,gamma_z[1],optimizer,2.0,2.271269071218032,0.16631889466926303,1.9452840376662766,2.5972541047697875,True,inverse
D3,Dataset 3,70,beta_nb[0],optimizer,8.0,8.067365990170522,0.3013470491942183,7.4767257737498545,8.65800620659119,True,inverse
D3,Dataset 3,70,beta_nb[1],optimizer,2.5,2.9725499396507455,0.4340916574724297,2.1217302910047833,3.823369588296708,True,inverse
D3,Dataset 3,70,gamma_nb[0],optimizer,-2.5,-2.087410608822664,0.12320771134445382,-2.3288977230577936,-1.8459234945875345,False,inverse
D3,Dataset 3,70,gamma_nb[1],optimizer,2.5,2.354041781822002,0.06442528871778631,2.2277682159351406,2.480315347708863,False,inverse
D3,Dataset 3,70,log_alpha,optimizer,0.0,-0.0655203427738093,0.05417249937148563,-0.17169844154192115,0.04065775599430253,True,inverse
D3,Dataset 3,70,rho,natural_delta,0.4,0.3727955938700793,0.022970100666913053,0.3277741965629297,0.4178169911772289,True,inverse
D3,Dataset 3,70,alpha,natural_delta,1.0,0.936579993930864,0.05073687913256575,0.8371357108310351,1.0360242770306929,True,inverse
D3,Dataset 3,68,logit_rho,optimizer,-0.4054651081081643,-0.30793904521106397,0.1094022862799443,-0.5223675263197548,-0.09351056410237313,True,inverse
D3,Dataset 3,68,beta_z[0],optimizer,6.6,6.447253131358877,0.1069109598365791,6.237707650079182,6.656798612638571,True,inverse
D3,Dataset 3,68,beta_z[1],optimizer,-2.1,-2.021091833709442,0.06501639274874715,-2.1485239634969866,-1.8936597039218976,True,inverse
D3,Dataset 3,68,gamma_z[0],optimizer,-2.5,-2.266987377098322,0.24918324337866601,-2.7553865341205075,-1.778588220076137,True,inverse
D3,Dataset 3,68,gamma_z[1],optimizer,2.0,1.9202188143855365,0.09849851033970528,1.7271617341197143,2.113275894651359,True,inverse
D3,Dataset 3,68,beta_nb[0],optimizer,8.0,8.113647595210233,0.3092642304795684,7.507489703470279,8.719805486950188,True,inverse
D3,Dataset 3,68,beta_nb[1],optimizer,2.5,2.570558749734281,0.4258109063319502,1.7359693733236585,3.4051481261449035,True,inverse
D3,Dataset 3,68,gamma_nb[0],optimizer,-2.5,-2.510135619574911,0.19138030069158932,-2.885241008930426,-2.135030230219396,True,inverse
D3,Dataset 3,68,gamma_nb[1],optimizer,2.5,2.4700639075964674,0.08647970295356472,2.3005636898074804,2.6395641253854545,True,inverse
D3,Dataset 3,68,log_alpha,optimizer,0.0,-0.044782941293859194,0.0508239097628039,-0.14439780442895483,0.05483192184123645,True,inverse
D3,Dataset 3,68,rho,natural_delta,0.4,0.42361787410097396,0.026712293561545065,0.3712617787203456,0.4759739694816023,True,inverse
D3,Dataset 3,68,alpha,natural_delta,1.0,0.956205011931873,0.04859807724116634,0.860952780539187,1.051457243324559,True,inverse
D3,Dataset 3,74,logit_rho,optimizer,-0.4054651081081643,-0.4070578433456283,0.10043759075807474,-0.6039155212314548,-0.2102001654598018,True,inverse
D3,Dataset 3,74,beta_z[0],optimizer,6.6,6.679984021639449,0.10929363453077465,6.465768497959131,6.894199545319767,True,inverse
D3,Dataset 3,74,beta_z[1],optimizer,-2.1,-2.160820887244714,0.07078363921204098,-2.2995568201003143,-2.0220849543891135,True,inverse
D3,Dataset 3,74,gamma_z[0],optimizer,-2.5,-2.8084818957446,0.33477745971220824,-3.4646457167805282,-2.1523180747086714,True,inverse
D3,Dataset 3,74,gamma_z[1],optimizer,2.0,2.180928805305774,0.14478472581938442,1.8971507426997802,2.4647068679117674,True,inverse
D3,Dataset 3,74,beta_nb[0],optimizer,8.0,8.106481725494874,0.3087500613255574,7.501331605296781,8.711631845692967,True,inverse
D3,Dataset 3,74,beta_nb[1],optimizer,2.5,2.816947046306327,0.43162792859192595,1.9709563062661521,3.662937786346502,True,inverse
D3,Dataset 3,74,gamma_nb[0],optimizer,-2.5,-2.3248573210691617,0.16418726934213831,-2.646664368979753,-2.0030502731585704,True,inverse
D3,Dataset 3,74,gamma_nb[1],optimizer,2.5,2.410156696109832,0.07866977250565328,2.255963941998752,2.5643494502209125,True,inverse
D3,Dataset 3,74,log_alpha,optimizer,0.0,-0.016476293714755817,0.05205446550379731,-0.11850304610219854,0.08555045867268692,True,inverse
D3,Dataset 3,74,rho,natural_delta,0.4,0.3996178044974294,0.024097329751581992,0.3523870381843287,0.4468485708105301,True,inverse
D3,Dataset 3,74,alpha,natural_delta,1.0,0.9836586980079502,0.051203827762965025,0.8832991955925388,1.0840182004233616,True,inverse
D3,Dataset 3,77,logit_rho,optimizer,-0.4054651081081643,-0.19844724757474996,0.12715475001182083,-0.4476705575979188,0.05077606244841887,True,inverse
D3,Dataset 3,77,beta_z[0],optimizer,6.6,6.7710381838838405,0.10551865051900391,6.564221628866592,6.9778547389010885,True,inverse
D3,Dataset 3,77,beta_z[1],optimizer,-2.1,-2.1713772116931365,0.06436580298481268,-2.2975341855433693,-2.0452202378429036,True,inverse
D3,Dataset 3,77,gamma_z[0],optimizer,-2.5,-2.109858571378655,0.27053003052462044,-2.640097431206911,-1.5796197115503992,True,inverse
D3,Dataset 3,77,gamma_z[1],optimizer,2.0,1.9676582601235004,0.10806331511797479,1.7558541624922699,2.179462357754731,True,inverse
D3,Dataset 3,77,beta_nb[0],optimizer,8.0,8.158612169625098,0.3286005851614034,7.514555022708747,8.802669316541449,True,inverse
D3,Dataset 3,77,beta_nb[1],optimizer,2.5,2.064913112418972,0.4120752872192539,1.2572455494692345,2.8725806753687095,True,inverse
D3,Dataset 3,77,gamma_nb[0],optimizer,-2.5,-2.774285462977725,0.2975701965794072,-3.357523048273363,-2.1910478776820868,True,inverse
D3,Dataset 3,77,gamma_nb[1],optimizer,2.5,2.4959151899853054,0.1286340438150212,2.2437924641078637,2.748037915862747,True,inverse
D3,Dataset 3,77,log_alpha,optimizer,0.0,0.13511829795746022,0.05234532895900754,0.032521453197805444,0.237715142717115,False,inverse
D3,Dataset 3,77,rho,natural_delta,0.4,0.4505503643107127,0.03147776025627509,0.3888539542084135,0.5122467744130119,True,inverse
D3,Dataset 3,77,alpha,natural_delta,1.0,1.1446721887240139,0.059918242268985664,1.027232433876802,1.2621119435712258,False,inverse
D3,Dataset 3,75,logit_rho,optimizer,-0.4054651081081643,-0.7763322072822519,0.08576684640865802,-0.9444352262432216,-0.6082291883212823,False,inverse
D3,Dataset 3,75,beta_z[0],optimizer,6.6,6.566910911386432,0.12689982267215685,6.3181872589490045,6.81563456382386,True,inverse
D3,Dataset 3,75,beta_z[1],optimizer,-2.1,-2.1028302939038404,0.08042394112748834,-2.2604612185137176,-1.9451993692939633,True,inverse
D3,Dataset 3,75,gamma_z[0],optimizer,-2.5,-3.9062733177452755,0.4683204924922781,-4.824181483030141,-2.9883651524604105,False,inverse
D3,Dataset 3,75,gamma_z[1],optimizer,2.0,2.523940094128658,0.20261038208310422,2.1268237452457734,2.921056443011542,False,inverse
D3,Dataset 3,75,beta_nb[0],optimizer,8.0,7.782180483215221,0.29237645258951933,7.209122636139763,8.355238330290678,True,inverse
D3,Dataset 3,75,beta_nb[1],optimizer,2.5,3.296336388905679,0.4461692419427017,2.421844674697984,4.170828103113374,True,inverse
D3,Dataset 3,75,gamma_nb[0],optimizer,-2.5,-2.127530462583952,0.09101175869153035,-2.3059135096193515,-1.9491474155485526,False,inverse
D3,Dataset 3,75,gamma_nb[1],optimizer,2.5,2.4411659081606967,0.06218317048834648,2.3192868940035374,2.563044922317856,True,inverse
