Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,28,NB,ZIP--ZINB,-46176.59194871142,-44262.27841394844,3828.6270695259736,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,P+NB,ZIP--ZINB,-44888.71202788931,-44262.27841394844,1252.867227881754,,2,2.2930539055759397e-273,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,ZIP,ZIP--ZINB,-69530.28764309947,-44262.27841394844,50536.01845830206,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,28,ZINB,ZIP--ZINB,-45428.94109231616,-44262.27841394844,2333.3253567354404,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,28,Z+P+NB,ZIP--ZINB,-44332.22823608932,-44262.27841394844,139.89964428177336,2.0,0,4.180018790781116e-31,True,chi²(df=2)
D1,Dataset 1,27,Poisson,ZIP--ZINB,-98975.79136028329,-44581.86989812867,108787.84292430924,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,NB,ZIP--ZINB,-46510.27993631816,-44581.86989812867,3856.8200763789646,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,P+NB,ZIP--ZINB,-45161.6487031687,-44581.86989812867,1159.5576100800536,,2,4.198335154433523e-253,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,ZIP,ZIP--ZINB,-71528.30252029732,-44581.86989812867,53892.8652443373,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,27,ZINB,ZIP--ZINB,-45815.139180278304,-44581.86989812867,2466.5385642992624,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,27,Z+P+NB,ZIP--ZINB,-44643.739755115625,-44581.86989812867,123.73971397390414,2.0,0,1.3497785256087016e-27,True,chi²(df=2)
D1,Dataset 1,25,Poisson,ZIP--ZINB,-99210.43183854192,-44603.05990396337,109214.74386915712,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,25,NB,ZIP--ZINB,-46684.8710855236,-44603.05990396337,4163.622363120463,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,25,P+NB,ZIP--ZINB,-45286.92389209434,-44603.05990396337,1367.7279762619437,,2,2.617681530664628e-298,True,chi-bar² heuristic; k=2
D1,Dataset 1,25,ZIP,ZIP--ZINB,-71502.64528649268,-44603.05990396337,53799.17076505863,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,25,ZINB,ZIP--ZINB,-45892.33554558302,-44603.05990396337,2578.5512832393,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,25,Z+P+NB,ZIP--ZINB,-44694.5619110455,-44603.05990396337,183.0040141642676,2.0,0,1.824665418006944e-40,True,chi²(df=2)
D1,Dataset 1,24,Poisson,ZIP--ZINB,-99203.5293216758,-44681.48114327868,109044.09635679424,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,24,NB,ZIP--ZINB,-46640.85374289004,-44681.48114327868,3918.7451992227134,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,24,P+NB,ZIP--ZINB,-45304.86567119711,-44681.48114327868,1246.7690558368631,,2,4.837947491274317e-272,True,chi-bar² heuristic; k=2
