Dataset,Model,Link,Row,Col,Value,CovarianceStatus
C2,Z+P+NB,identity,5,0,-0.2568247335507273,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,1,-0.012597104914938108,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,2,0.03345597098925031,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,3,-0.005605387733137437,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,4,-0.10832674587339056,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,5,0.17895818905480806,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,6,-0.03271988284111155,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,7,0.15229655476120937,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,8,-0.04467633621066644,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,5,9,-7.763710429360208e-09,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,0,0.04832783134876798,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,1,0.0027723514951710736,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,2,-0.006675364668854977,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,3,0.0011449448101911416,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,4,0.01893251534839381,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,5,-0.03271988284111155,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,6,0.006069202012264544,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,7,-0.029068706298829038,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,8,0.008601514234498094,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,6,9,1.4389805902527097e-09,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,0,-0.2893115265648377,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,1,-0.023258690102384225,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,2,0.04654916192874714,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,3,-0.007900806320666651,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,4,-0.06428793058893922,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,5,0.15229655476120937,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,6,-0.029068706298829038,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,7,0.19321235695893538,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,8,-0.05673952202846389,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,7,9,-7.7468013656591e-09,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,0,0.08504888715466451,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,1,0.006685223524352177,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,2,-0.01362982472754804,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,3,0.0023825004907547273,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,4,0.01918460631402632,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,5,-0.04467633621066644,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,6,0.008601514234498094,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,7,-0.05673952202846389,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,8,0.017113580764541014,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,8,9,2.279571546013212e-09,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,9,0,1.2421719278929032e-08,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,9,1,7.726905711460341e-10,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,9,2,-1.7971986210687397e-09,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,9,3,3.055225327788553e-10,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,9,4,4.269804018978695e-09,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,9,5,-7.763710429360208e-09,indefinite_pinv_rank_8_of_10
