Dataset,Model,Link,Index,Value,SE,CovarianceStatus
H2AX4H100,Poisson,log,1,0.2658169530890837,0.021913575469290108,inverse
H2AX4H100,NB,identity,0,2.0119642750619855,0.16783218291862567,inverse
H2AX4H100,NB,identity,1,1.0417342205801936,0.09672033146705045,inverse
H2AX4H100,NB,identity,2,-3.0829870568165916,0.46684082230416296,inverse
H2AX4H100,NB,log,0,0.8472732116912349,0.05198683301941834,inverse
H2AX4H100,NB,log,1,0.26595320568996195,0.02386496017948834,inverse
H2AX4H100,NB,log,2,-3.0863715051806073,0.4681593455478595,inverse
H2AX4H100,ZIP,identity,0,2.460077713588337,0.18655452886833387,inverse
H2AX4H100,ZIP,identity,1,1.0551579094907337,0.10103900169780429,inverse
H2AX4H100,ZIP,identity,2,-1.6350048128367107,0.287916348177979,inverse
H2AX4H100,ZIP,identity,3,-0.24578641205972346,0.1515284995215149,inverse
H2AX4H100,ZIP,log,0,1.0269999668455423,0.050276792986959966,inverse
H2AX4H100,ZIP,log,1,0.23332733658865892,0.022306826019765257,inverse
H2AX4H100,ZIP,log,2,-1.6279355466582366,0.2870266505039944,inverse
H2AX4H100,ZIP,log,3,-0.2505666220665799,0.1514375335246211,inverse
H2AX4H100,ZINB,identity,0,2.460080369195806,0.18655461699768758,indefinite_pinv_rank_4_of_5
H2AX4H100,ZINB,identity,1,1.0551570765348708,0.10103902707246659,indefinite_pinv_rank_4_of_5
H2AX4H100,ZINB,identity,2,-1.635004465428989,0.2879163102727861,indefinite_pinv_rank_4_of_5
H2AX4H100,ZINB,identity,3,-0.24578666421724724,0.15152850441848484,indefinite_pinv_rank_4_of_5
H2AX4H100,ZINB,identity,4,-19.09637377671614,3.3134611911598325e-09,indefinite_pinv_rank_4_of_5
H2AX4H100,ZINB,log,0,1.026999961900231,0.050276790755213824,singular_pinv_rank_4_of_5
H2AX4H100,ZINB,log,1,0.23332734374259606,0.02230682547261385,singular_pinv_rank_4_of_5
H2AX4H100,ZINB,log,2,-1.627933140063374,0.28702647661915115,singular_pinv_rank_4_of_5
H2AX4H100,ZINB,log,3,-0.2505676125232006,0.15143751004529996,singular_pinv_rank_4_of_5
H2AX4H100,ZINB,log,4,-19.992507833587393,1.2369235351766533e-09,singular_pinv_rank_4_of_5
H2AX4H100,P+NB,identity,0,2.0686398968727397,0.1422730336613484,indefinite_pinv_rank_3_of_6
H2AX4H100,P+NB,identity,1,2.432268715562075,0.1862707429466165,indefinite_pinv_rank_3_of_6
H2AX4H100,P+NB,identity,2,1.0663603138529292,0.1008505828569097,indefinite_pinv_rank_3_of_6
H2AX4H100,P+NB,identity,3,9.986218613350863e-09,1.1592769405651663e-05,indefinite_pinv_rank_3_of_6
H2AX4H100,P+NB,identity,4,1.9708335045470878e-11,1.0568320684117188e-05,indefinite_pinv_rank_3_of_6
H2AX4H100,P+NB,identity,5,9.804909718123344,6.999678427077113e-10,indefinite_pinv_rank_3_of_6
H2AX4H100,P+NB,log,0,2.0262760624431198,0.15833972575752508,singular_pinv_rank_5_of_6
